WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,WP1 — Management & coordination,group,2026-08-02,2029-07-16,1080,20,,,
1.1,  Kick-off & governance,task,2026-08-02,2026-09-30,60,100,PI,,
1.2,  Ongoing coordination,task,2026-10-01,2029-07-16,1020,15,PM,Kick-off & governance,
2,WP2 — Preparation & setup,group,2026-09-01,2027-03-29,210,60,,,
2.1,  Ethics & regulatory approval,task,2026-09-01,2026-12-29,120,80,PI,Kick-off & governance,
2.2,  Recruitment & infrastructure,task,2026-12-30,2027-03-29,90,40,Team,Ethics & regulatory approval,
3,Setup complete,milestone,2027-03-30,2027-03-30,0,0,,Recruitment & infrastructure,
4,WP3 — Core work package,group,2027-03-30,2028-07-21,480,0,,,
4.1,  Objective 1 activity,task,2027-03-30,2027-11-24,240,0,Team,Setup complete,
4.2,  Objective 2 activity,task,2027-09-26,2028-07-21,300,0,Team,,
5,Interim results,milestone,2028-03-24,2028-03-24,0,0,,,
6,WP4 — Analysis & validation,group,2028-03-24,2029-02-16,330,0,,,
6.1,  Data analysis,task,2028-03-24,2028-10-19,210,0,Analyst,Objective 1 activity,
6.2,  Validation & replication,task,2028-09-20,2029-02-16,150,0,Team,Data analysis,
7,WP5 — Dissemination & impact,group,2028-05-23,2029-07-16,420,0,,,
7.1,  Publications,task,2028-05-23,2029-03-18,300,0,PI,,
7.2,  Conferences & stakeholder engagement,task,2028-09-20,2029-07-16,300,0,Team,,
8,Reporting,group,2027-07-28,2029-07-16,720,0,,,
9,Year 1 report,milestone,2027-08-02,2027-08-02,0,0,,,
10,Year 2 report,milestone,2028-08-01,2028-08-01,0,0,,,
11,Final report,milestone,2029-07-17,2029-07-17,0,0,,Validation & replication,
