WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Concept & design,group,2026-08-02,2026-08-31,30,100,,,
1.1,  Range plan & design freeze,task,2026-08-02,2026-08-19,18,100,Design,,
2,Tech pack issued,milestone,2026-09-01,2026-09-01,0,100,,Range plan & design freeze,
3,Sampling,group,2026-09-01,2026-11-14,75,60,,,
3.1,  Proto sample,task,2026-09-01,2026-09-22,22,100,Sampling,Tech pack issued,
3.2,  Fit sample & comments,task,2026-09-23,2026-10-17,25,60,Sampling,Proto sample,
3.3,  PP sample,task,2026-10-18,2026-11-14,28,20,Sampling,Fit sample & comments,
4,PP sample approved,milestone,2026-11-15,2026-11-15,0,0,,PP sample,
5,Materials,group,2026-09-06,2026-11-24,80,50,,,
5.1,  Fabric booking & lab dips,task,2026-09-06,2026-10-10,35,90,Sourcing,Tech pack issued,
5.2,  Bulk fabric production & transit,task,2026-10-11,2026-11-24,45,30,Mill,Fabric booking & lab dips,
6,Fabric in-house,milestone,2026-11-25,2026-11-25,0,0,,Bulk fabric production & transit,
7,Pre-production,group,2026-11-15,2026-12-06,22,0,,,
7.1,"  Marker, grading & size set",task,2026-11-15,2026-11-29,15,0,Production,PP sample approved,
7.2,  PP meeting & line release,task,2026-11-30,2026-12-06,7,0,Production,"Marker, grading & size set",
8,Bulk production,group,2026-12-07,2027-01-20,45,0,,,
8.1,  Cutting,task,2026-12-07,2026-12-16,10,0,Factory,PP meeting & line release,
8.2,  Sewing & in-line QC,task,2026-12-17,2027-01-13,28,0,Factory,Cutting,
8.3,  Finishing & pressing,task,2027-01-09,2027-01-20,12,0,Factory,Sewing & in-line QC,
9,Finishing & shipment,group,2027-01-21,2027-02-14,25,0,,,
9.1,  Final inspection & packing,task,2027-01-21,2027-01-30,10,0,QA,Finishing & pressing,
10,Ex-factory,milestone,2027-02-03,2027-02-03,0,0,,Final inspection & packing,
10.1,  Transit to delivery window,task,2027-02-03,2027-02-14,12,0,Logistics,Ex-factory,
