WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Planning,group,2026-08-02,2026-08-22,21,100,,,
1.1,  Design & budget,task,2026-08-02,2026-08-15,14,100,Owner,,
1.2,  Permits & approvals,task,2026-08-12,2026-08-25,14,60,Contractor,Design & budget,
2,Demolition,group,2026-08-26,2026-08-30,5,0,,,
2.1,  Demo & prep,task,2026-08-26,2026-08-30,5,0,Crew,Permits & approvals,
3,Structural & rough-in,group,2026-08-31,2026-09-19,20,0,,,
3.1,  Framing & structure,task,2026-08-31,2026-09-07,8,0,Crew,Demo & prep,
3.2,"  Electrical, plumbing & HVAC",task,2026-09-08,2026-09-19,12,0,Trades,Framing & structure,
4,Finishes,group,2026-09-20,2026-10-09,20,0,,,
4.1,"  Drywall, paint & flooring",task,2026-09-20,2026-10-04,15,0,Crew,"Electrical, plumbing & HVAC",
4.2,  Final inspection & walkthrough,task,2026-10-10,2026-10-12,3,0,Owner,"Drywall, paint & flooring",
5,Project complete,milestone,2026-10-13,2026-10-13,0,0,,,
