WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Site assessment & design,group,2026-08-02,2026-08-26,25,100,,,
1.1,  Site walk & capacity check,task,2026-08-02,2026-08-09,8,100,Engineer,,
1.2,  Load calculation & layout,task,2026-08-10,2026-08-26,17,90,Engineer,Site walk & capacity check,
2,Utility coordination,group,2026-08-12,2026-10-25,75,40,,,
2.1,  Service application submitted,task,2026-08-12,2026-08-16,5,100,PM,Site walk & capacity check,
2.2,  Utility load study & design,task,2026-08-22,2026-10-05,45,40,Utility,Service application submitted,
2.3,  Service upgrade scheduled,task,2026-10-06,2026-10-25,20,0,Utility,Utility load study & design,
3,Utility approval,milestone,2026-10-26,2026-10-26,0,0,,Service upgrade scheduled,
4,Permitting,group,2026-08-30,2026-10-03,35,30,,,
4.1,  Electrical & building permits,task,2026-08-30,2026-09-28,30,40,PM,Load calculation & layout,
4.2,  ADA & signage review,task,2026-09-16,2026-10-03,18,10,PM,,
5,Procurement,group,2026-09-06,2026-10-30,55,25,,,
5.1,  Chargers & switchgear ordered,task,2026-09-06,2026-10-25,50,30,Procurement,Load calculation & layout,
6,Civil & electrical works,group,2026-10-29,2026-12-02,35,0,,,
6.1,  Trenching & conduit,task,2026-10-29,2026-11-09,12,0,Civil,Utility approval,
6.2,  Concrete pads & bollards,task,2026-11-08,2026-11-15,8,0,Civil,Trenching & conduit,
6.3,  Panel work & conductor pull,task,2026-11-14,2026-11-25,12,0,Electrical,Concrete pads & bollards,
6.4,  Charger mounting,task,2026-11-24,2026-12-02,9,0,Electrical,Panel work & conductor pull,
7,Commissioning & activation,group,2026-12-03,2026-12-24,22,0,,,
7.1,  Energization & inspection,task,2026-12-03,2026-12-10,8,0,Utility,Charger mounting,
7.2,  Network & payment activation,task,2026-12-11,2026-12-19,9,0,Ops,Energization & inspection,
8,Stations live,milestone,2026-12-25,2026-12-25,0,0,,Network & payment activation,
