WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Strategy,group,2026-08-02,2026-08-11,10,100,,,
1.1,  Market & competitor research,task,2026-08-02,2026-08-06,5,100,PMM,,
1.2,  Positioning & messaging,task,2026-08-07,2026-08-11,5,70,PMM,Market & competitor research,
2,Product readiness,group,2026-08-12,2026-08-27,16,40,,,
2.1,  Finalize product & beta,task,2026-08-12,2026-08-23,12,45,Product,Positioning & messaging,
2.2,  Pricing & packaging,task,2026-08-16,2026-08-21,6,20,PMM,,
3,Go-to-market,group,2026-08-18,2026-08-31,14,15,,,
3.1,  Marketing assets & content,task,2026-08-18,2026-08-27,10,20,Marketing,Positioning & messaging,
3.2,  PR & email campaign,task,2026-08-24,2026-08-31,8,0,Comms,,
3.3,  Sales enablement,task,2026-08-24,2026-08-29,6,0,Sales,,
4,Launch,group,2026-09-01,2026-09-06,6,0,,,
4.1,  Pre-launch checklist,task,2026-09-01,2026-09-03,3,0,PMM,Marketing assets & content,
4.2,  Launch day,milestone,2026-09-04,2026-09-04,0,0,,Pre-launch checklist,
4.3,  Post-launch review,task,2026-09-05,2026-09-09,5,0,Team,Launch day,
