WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Site assessment & resource,group,2026-08-02,2027-09-05,400,100,,,
1.1,  Site selection & land agreements,task,2026-08-02,2026-10-30,90,100,Development,,
1.2,  Met mast / LiDAR install,task,2026-10-21,2026-11-19,30,100,Development,Site selection & land agreements,
1.3,  Wind resource measurement,task,2026-11-20,2027-09-05,290,100,Analyst,Met mast / LiDAR install,
2,Resource confirmed,milestone,2027-09-06,2027-09-06,0,100,,Wind resource measurement,
3,Environmental & permitting,group,2026-12-30,2027-11-14,320,70,,,
3.1,  Environmental impact assessment,task,2026-12-30,2027-06-27,180,100,Consultant,,
3.2,  Noise & avian surveys,task,2027-02-18,2027-07-17,150,90,Consultant,,
4,Planning consent,milestone,2027-11-15,2027-11-15,0,0,,Environmental impact assessment,
5,Grid connection,group,2027-01-29,2028-02-12,380,50,,,
5.1,  Connection application & study,task,2027-01-29,2027-09-05,220,80,Development,,
5.2,  Connection agreement & substation design,task,2027-09-06,2028-02-12,160,30,Engineering,Connection application & study,
6,Procurement,group,2027-11-15,2028-06-01,200,20,,,
6.1,  Turbine supply agreement,task,2027-11-15,2028-02-12,90,40,Procurement,Planning consent,
6.2,  Balance of plant & cable orders,task,2028-01-04,2028-06-01,150,10,Procurement,,
7,Civil works,group,2028-03-24,2028-08-20,150,0,,,
7.1,  Access roads & crane pads,task,2028-03-24,2028-05-22,60,0,Civil,Turbine supply agreement,
7.2,  Foundations & cure,task,2028-05-03,2028-07-31,90,0,Civil,Access roads & crane pads,
7.3,  Cable trenching,task,2028-05-23,2028-07-31,70,0,Electrical,,
8,Erection & commissioning,group,2028-08-11,2028-12-18,130,0,,,
8.1,  Crane mobilization,task,2028-08-11,2028-08-30,20,0,Erection,Foundations & cure,
8.2,"  Tower, nacelle & blade lifts",task,2028-08-29,2028-11-01,65,0,Erection,Crane mobilization,
8.3,  Electrical termination & testing,task,2028-10-25,2028-12-03,40,0,Commissioning,"Tower, nacelle & blade lifts",
9,First power,milestone,2028-12-19,2028-12-19,0,0,,Electrical termination & testing,
