WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Topic & proposal,group,2026-08-02,2026-09-20,50,100,,,
1.1,  Topic selection & reading,task,2026-08-02,2026-08-26,25,100,Student,,
1.2,  Research questions & design,task,2026-08-22,2026-09-10,20,100,Student,Topic selection & reading,
1.3,  Proposal written & submitted,task,2026-09-09,2026-09-20,12,100,Student,Research questions & design,
2,Proposal approved,milestone,2026-09-21,2026-09-21,0,100,,Proposal written & submitted,
3,Literature review,group,2026-08-27,2026-11-24,90,60,,,
3.1,  Systematic search & reading,task,2026-08-27,2026-10-15,50,80,Student,,
3.2,  Synthesis & review chapter,task,2026-10-11,2026-11-24,45,40,Student,Systematic search & reading,
4,Methodology & ethics,group,2026-09-21,2026-11-14,55,50,,,
4.1,  Method & instrument design,task,2026-09-21,2026-10-20,30,70,Student,Proposal approved,
4.2,  Ethics submission & review,task,2026-10-16,2026-11-14,30,30,Committee,Method & instrument design,
5,Ethics approval,milestone,2026-11-15,2026-11-15,0,0,,Ethics submission & review,
6,Data collection,group,2026-11-15,2027-02-12,90,0,,,
6.1,  Recruitment,task,2026-11-15,2026-12-14,30,0,Student,Ethics approval,
6.2,  Fieldwork / data gathering,task,2026-12-05,2027-02-12,70,0,Student,Recruitment,
7,Analysis,group,2027-02-08,2027-04-08,60,0,,,
7.1,  Data cleaning & coding,task,2027-02-08,2027-03-04,25,0,Student,Fieldwork / data gathering,
7.2,  Analysis & results write-up,task,2027-03-02,2027-04-08,38,0,Student,Data cleaning & coding,
8,Drafting & submission,group,2027-03-30,2027-07-12,105,0,,,
8.1,  Full draft to supervisor,task,2027-03-30,2027-05-08,40,0,Student,Analysis & results write-up,
8.2,  Supervisor feedback,task,2027-05-09,2027-05-28,20,0,Supervisor,Full draft to supervisor,
8.3,  Revisions & formatting,task,2027-05-29,2027-07-02,35,0,Student,Supervisor feedback,
9,Submitted,milestone,2027-07-13,2027-07-13,0,0,,Revisions & formatting,
