WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Pre-construction,group,2026-08-02,2026-08-21,20,100,,,
1.1,  Permits & approvals,task,2026-08-02,2026-08-13,12,100,PM,,
1.2,  Site survey,task,2026-08-10,2026-08-15,6,100,Surveyor,,
2,Foundation,group,2026-08-22,2026-09-05,15,30,,,
2.1,  Excavation,task,2026-08-22,2026-08-27,6,60,Crew A,Permits & approvals,
2.2,  Pour foundation,task,2026-08-28,2026-09-05,9,0,Crew A,Excavation,
3,Structure,group,2026-09-06,2026-10-05,30,0,,,
3.1,  Framing,task,2026-09-06,2026-09-19,14,0,Crew B,Pour foundation,
3.2,  Roofing,task,2026-09-20,2026-09-29,10,0,Crew B,Framing,
4,Interior,group,2026-10-06,2026-10-30,25,0,,,
4.1,  Electrical & plumbing,task,2026-10-06,2026-10-17,12,0,Trades,Roofing,
4.2,  Finishing,task,2026-10-18,2026-10-30,13,0,Trades,Electrical & plumbing,
5,Handover,milestone,2026-10-31,2026-10-31,0,0,,Finishing,
