WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Exploration,group,2026-08-02,2027-03-29,240,100,,,
1.1,  Target generation & geophysics,task,2026-08-02,2026-10-30,90,100,Geology,,
1.2,  First-pass drilling,task,2026-10-31,2027-03-29,150,100,Geology,Target generation & geophysics,
2,Discovery confirmed,milestone,2027-03-30,2027-03-30,0,100,,First-pass drilling,
3,Resource definition,group,2027-03-30,2027-12-14,260,70,,,
3.1,  Infill drilling,task,2027-03-30,2027-09-25,180,90,Geology,Discovery confirmed,
3.2,  Assay turnaround & modelling,task,2027-06-28,2027-12-14,170,60,Geology,Infill drilling,
4,Resource declared,milestone,2027-12-15,2027-12-15,0,0,,Assay turnaround & modelling,
5,Studies & feasibility,group,2027-09-26,2028-10-29,400,30,,,
5.1,  Scoping & pre-feasibility,task,2027-09-26,2028-03-23,180,60,Engineering,,
5.2,  Bankable feasibility study,task,2028-03-24,2028-10-29,220,10,Engineering,Scoping & pre-feasibility,
6,Investment decision,milestone,2028-11-09,2028-11-09,0,0,,Bankable feasibility study,
7,Permitting & approvals,group,2028-03-24,2029-01-17,300,20,,,
7.1,  Environmental & social impact,task,2028-03-24,2028-10-09,200,30,Environment,,
7.2,  Mining licence & water permits,task,2028-08-21,2029-01-17,150,0,Legal,Environmental & social impact,
8,Development & construction,group,2028-11-19,2030-01-12,420,0,,,
8.1,"  Site access, power & water",task,2028-11-19,2029-03-18,120,0,Projects,Investment decision,
8.2,  Process plant construction,task,2029-02-17,2029-12-13,300,0,EPC,"Site access, power & water",
8.3,  Pre-strip / decline development,task,2029-04-18,2029-12-13,240,0,Mining,"Site access, power & water",
9,Ramp-up & operations,group,2029-12-24,2030-09-09,260,0,,,
9.1,  Commissioning & first production,task,2029-12-24,2030-03-23,90,0,Operations,Process plant construction,
9.2,  Ramp to nameplate capacity,task,2030-03-14,2030-09-09,180,0,Operations,Commissioning & first production,
10,Commercial production,milestone,2030-09-10,2030-09-10,0,0,,Ramp to nameplate capacity,
