WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,First 30 days — Learn,group,2026-08-02,2026-08-31,30,60,,,
1.1,  Onboarding & systems,task,2026-08-02,2026-08-11,10,100,You,,
1.2,  Meet the team & stakeholders,task,2026-08-04,2026-08-15,12,70,You,,
1.3,  Learn the product/process,task,2026-08-07,2026-08-26,20,40,You,,
2,30-day review,milestone,2026-09-01,2026-09-01,0,0,,,
3,Days 31-60 — Contribute,group,2026-09-01,2026-09-30,30,0,,,
3.1,  Own first tasks & quick wins,task,2026-09-01,2026-09-25,25,0,You,Learn the product/process,
4,60-day review,milestone,2026-10-01,2026-10-01,0,0,,,
5,Days 61-90 — Lead,group,2026-10-01,2026-10-30,30,0,,,
5.1,  Own a project & propose improvements,task,2026-10-01,2026-10-28,28,0,You,,
6,90-day review,milestone,2026-10-31,2026-10-31,0,0,,,
