WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Phase 1 — Plan,group,2026-08-02,2026-08-21,20,100,,,
1.1,  Define scope,task,2026-08-02,2026-08-09,8,100,Lead,,
1.2,  Agree timeline,task,2026-08-10,2026-08-21,12,100,Team,Define scope,
2,Plan approved,milestone,2026-08-22,2026-08-22,0,100,,Agree timeline,
3,Phase 2 — Prepare,group,2026-08-22,2026-09-15,25,60,,,
3.1,  Gather inputs,task,2026-08-22,2026-09-02,12,100,Team,Plan approved,
3.2,  Set up tools,task,2026-09-01,2026-09-15,15,40,Team,Gather inputs,
4,Phase 3 — Deliver,group,2026-09-16,2026-10-25,40,20,,,
4.1,  Main workstream,task,2026-09-16,2026-10-15,30,25,Team,Set up tools,
4.2,  Review & revise,task,2026-10-13,2026-10-25,13,0,Lead,Main workstream,
5,Phase 4 — Close,group,2026-10-26,2026-11-14,20,0,,,
5.1,  Final checks,task,2026-10-26,2026-11-04,10,0,Lead,Review & revise,
5.2,  Handover,task,2026-11-05,2026-11-14,10,0,Team,Final checks,
6,Complete,milestone,2026-11-15,2026-11-15,0,0,,Handover,
