WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Initiation,group,2026-08-02,2026-08-07,6,100,,,
1.1,  Define scope & goals,task,2026-08-02,2026-08-04,3,100,PM,,
1.2,  Stakeholder sign-off,task,2026-08-05,2026-08-07,3,100,Sponsor,,
1.3,  Kickoff,milestone,2026-08-08,2026-08-08,0,0,,,
2,Planning,group,2026-08-08,2026-08-17,10,50,,,
2.1,  Work breakdown & schedule,task,2026-08-08,2026-08-12,5,70,PM,,
2.2,  Resource & budget plan,task,2026-08-11,2026-08-15,5,40,PM,,
3,Execution,group,2026-08-18,2026-09-06,20,10,,,
3.1,  Deliver workstream A,task,2026-08-18,2026-08-29,12,15,Lead A,,
3.2,  Deliver workstream B,task,2026-08-20,2026-09-02,14,5,Lead B,,
4,Monitoring & Control,group,2026-08-18,2026-09-06,20,0,,,
4.1,  Status reporting,task,2026-08-18,2026-09-06,20,0,PM,,
5,Closure,group,2026-09-07,2026-09-11,5,0,,,
5.1,  Handover & retrospective,task,2026-09-07,2026-09-10,4,0,Team,,
5.2,  Project close,milestone,2026-09-11,2026-09-11,0,0,,,
