WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Release planning,group,2026-08-02,2026-08-06,5,100,,,
1.1,  Backlog & epics,task,2026-08-02,2026-08-06,5,100,PO,,
2,Sprint 1,group,2026-08-07,2026-08-16,10,100,,Backlog & epics,
2.1,  Stories — Sprint 1,task,2026-08-07,2026-08-14,8,100,Team,,
2.2,  Sprint 1 review,milestone,2026-08-17,2026-08-17,0,0,,,
3,Sprint 2,group,2026-08-17,2026-08-26,10,60,,,
3.1,  Stories — Sprint 2,task,2026-08-17,2026-08-24,8,60,Team,,
4,Sprint 3,group,2026-08-27,2026-09-05,10,0,,,
4.1,  Stories — Sprint 3,task,2026-08-27,2026-09-03,8,0,Team,,
5,Release,milestone,2026-09-06,2026-09-06,0,0,,,
