WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Planning,group,2026-08-02,2026-08-15,14,60,,,
1.1,  Set budget & goals,task,2026-08-02,2026-08-04,3,100,Lead,,
1.2,  Book venue,task,2026-08-05,2026-08-09,5,80,Coord,Set budget & goals,
1.3,  Confirm speakers,task,2026-08-07,2026-08-15,9,40,Coord,,
2,Promotion,group,2026-08-16,2026-09-05,21,10,,,
2.1,  Website & tickets,task,2026-08-16,2026-08-22,7,20,Web,Book venue,
2.2,  Email + social push,task,2026-08-20,2026-09-05,17,5,Social,,
3,Logistics,group,2026-09-01,2026-09-10,10,0,,,
3.1,  Catering & AV,task,2026-09-01,2026-09-06,6,0,Ops,,
3.2,  Run of show,task,2026-09-06,2026-09-10,5,0,Ops,Catering & AV,
4,Event day,milestone,2026-09-11,2026-09-11,0,0,,Run of show,
5,Wrap-up & thank you,task,2026-09-12,2026-09-15,4,0,,Event day,
