WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Discovery,group,2026-08-02,2026-08-11,10,100,,,
1.1,  Requirements,task,2026-08-02,2026-08-06,5,100,PM,,
1.2,  Technical design,task,2026-08-07,2026-08-11,5,80,Lead,Requirements,
1.3,  Design approved,milestone,2026-08-12,2026-08-12,0,0,,Technical design,
2,Development,group,2026-08-12,2026-08-31,20,40,,,
2.1,  Backend API,task,2026-08-12,2026-08-29,18,60,Dev A,Design approved,
2.2,  Frontend UI,task,2026-08-12,2026-08-31,20,35,Dev B,Design approved,
2.3,  Integration,task,2026-09-01,2026-09-08,8,0,Team,Frontend UI,
3,QA & Testing,group,2026-09-09,2026-09-20,12,0,,,
3.1,  Test plan,task,2026-09-09,2026-09-12,4,0,QA,Integration,
3.2,  Bug fixing,task,2026-09-13,2026-09-20,8,0,Team,Test plan,
4,Launch,group,2026-09-21,2026-09-23,3,0,,,
4.1,  Deploy to production,task,2026-09-21,2026-09-22,2,0,DevOps,Bug fixing,
4.2,  Go live,milestone,2026-09-23,2026-09-23,0,0,,Deploy to production,
