WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Long-range planning,group,2026-08-02,2026-09-30,60,100,,,
1.1,  Business case & objectives,task,2026-08-02,2026-08-21,20,100,TA Manager,,
1.2,  Preliminary budget & window,task,2026-08-20,2026-09-10,22,100,Planning,,
2,Turnaround sanctioned,milestone,2026-10-01,2026-10-01,0,100,,,
3,Scope development & freeze,group,2026-10-01,2026-11-19,50,70,,,
3.1,  Worklist collection,task,2026-10-01,2026-10-25,25,100,Operations,Turnaround sanctioned,
3.2,  Challenge & risk ranking,task,2026-10-23,2026-11-09,18,60,TA Team,Worklist collection,
4,Scope frozen,milestone,2026-11-20,2026-11-20,0,0,,Challenge & risk ranking,
5,Work package development,group,2026-11-10,2026-12-24,45,30,,,
5.1,  Job plans & isolation strategy,task,2026-11-10,2026-12-07,28,40,Planning,Challenge & risk ranking,
5.2,  Contractor scoping & award,task,2026-11-28,2026-12-24,27,20,Contracts,,
6,Procurement & long-lead,group,2026-11-05,2027-01-13,70,25,,,
6.1,  Long-lead equipment order,task,2026-11-05,2026-12-29,55,40,Procurement,,
6.2,  Scaffolding & site mobilization,task,2026-12-30,2027-01-13,15,0,Contractor,,
7,Execution window,group,2027-01-14,2027-02-06,24,0,,,
7.1,  Shutdown & cool-down,task,2027-01-14,2027-01-16,3,0,Operations,Scaffolding & site mobilization,
7.2,  Isolation & permits,task,2027-01-17,2027-01-18,2,0,Operations,Shutdown & cool-down,
7.3,  Inspection & discovery,task,2027-01-19,2027-01-23,5,0,Inspection,Isolation & permits,
7.4,  Mechanical repair work,task,2027-01-23,2027-02-01,10,0,Mechanical,Inspection & discovery,
7.5,  Reassembly & testing,task,2027-02-01,2027-02-06,6,0,Mechanical,Mechanical repair work,
8,Mechanical completion,milestone,2027-02-07,2027-02-07,0,0,,Reassembly & testing,
9,Start-up & close-out,group,2027-02-07,2027-02-20,14,0,,,
9.1,  Re-commissioning & start-up,task,2027-02-07,2027-02-12,6,0,Operations,Mechanical completion,
10,Return to service,milestone,2027-02-13,2027-02-13,0,0,,Re-commissioning & start-up,
10.1,  Demobilization & review,task,2027-02-13,2027-02-20,8,0,TA Team,Return to service,
