WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Strategy,group,2026-08-02,2026-08-08,7,100,,,
1.1,  Market research,task,2026-08-02,2026-08-05,4,100,Analyst,,
1.2,  Campaign brief,task,2026-08-06,2026-08-08,3,90,CMO,Market research,
2,Content Production,group,2026-08-09,2026-08-22,14,30,,,
2.1,  Copywriting,task,2026-08-09,2026-08-14,6,50,Writer,Campaign brief,
2.2,  Design assets,task,2026-08-11,2026-08-18,8,25,Designer,,
2.3,  Video production,task,2026-08-13,2026-08-22,10,10,Studio,,
3,Assets ready,milestone,2026-08-23,2026-08-23,0,0,,Video production,
4,Launch,group,2026-08-23,2026-09-01,10,0,,,
4.1,  Schedule posts,task,2026-08-23,2026-08-25,3,0,Social,Assets ready,
4.2,  Go live & promote,task,2026-08-26,2026-08-30,5,0,Team,Schedule posts,
4.3,  Measure & optimize,task,2026-08-31,2026-09-06,7,0,Analyst,Go live & promote,
