WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Year 1 — foundations,group,2026-08-02,2027-05-28,300,100,,,
1.1,  Coursework & methods training,task,2026-08-02,2027-01-28,180,100,Student,,
1.2,  Literature scoping,task,2026-09-01,2027-01-28,150,100,Student,,
2,Qualifying / upgrade exam,milestone,2027-05-29,2027-05-29,0,100,,,
3,Proposal & candidacy,group,2027-03-30,2027-08-26,150,80,,,
3.1,  Research design & proposal,task,2027-03-30,2027-07-17,110,100,Student,,
4,Proposal defense,milestone,2027-08-27,2027-08-27,0,0,,Research design & proposal,
5,Year 2 — data collection,group,2027-08-27,2028-07-21,330,30,,,
5.1,  Ethics approval,task,2027-08-27,2027-10-25,60,100,Committee,Proposal defense,
5.2,  Fieldwork / experiments,task,2027-10-26,2028-06-21,240,25,Student,Ethics approval,
5.3,  First conference paper,task,2028-03-24,2028-06-21,90,10,Student,,
6,Year 3 — analysis & output,group,2028-07-02,2029-04-27,300,0,,,
6.1,  Data analysis,task,2028-07-02,2028-12-28,180,0,Student,Fieldwork / experiments,
6.2,  Journal submissions,task,2028-10-30,2029-04-27,180,0,Student,Data analysis,
7,Writing up,group,2029-03-09,2029-11-03,240,0,,,
7.1,  Chapter drafting,task,2029-03-09,2029-08-05,150,0,Student,Data analysis,
7.2,  Supervisor feedback cycles,task,2029-07-07,2029-09-14,70,0,Supervisor,Chapter drafting,
7.3,  Full revision & formatting,task,2029-09-05,2029-11-03,60,0,Student,Supervisor feedback cycles,
8,Submission & viva,group,2029-11-04,2030-03-13,130,0,,,
9,Thesis submitted,milestone,2029-11-09,2029-11-09,0,0,,Full revision & formatting,
9.1,  Examiner reading period,task,2029-11-09,2030-01-22,75,0,Examiners,Thesis submitted,
10,Viva voce,milestone,2030-01-28,2030-01-28,0,0,,Examiner reading period,
10.1,  Corrections,task,2030-01-28,2030-03-13,45,0,Student,Viva voce,
11,Degree awarded,milestone,2030-03-14,2030-03-14,0,0,,Corrections,
