WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Design & approval,group,2026-08-02,2026-12-29,150,100,,,
1.1,  Basic & detail design,task,2026-08-02,2026-11-19,110,100,Design,,
1.2,  Classification review,task,2026-10-31,2026-12-29,60,90,Class,Basic & detail design,
2,Class approval,milestone,2026-12-30,2026-12-30,0,0,,Classification review,
3,Procurement,group,2026-10-01,2027-06-17,260,60,,,
3.1,  Main engine & propulsion order,task,2026-10-01,2027-04-18,200,70,Procurement,,
3.2,  Steel & equipment orders,task,2026-11-30,2027-04-18,140,60,Procurement,,
4,Steel work & blocks,group,2026-12-30,2027-08-06,220,20,,,
5,Steel cutting,milestone,2027-01-04,2027-01-04,0,0,,Class approval,
5.1,  Panel & sub-assembly,task,2027-01-04,2027-05-03,120,30,Fabrication,Class approval,
5.2,  Block assembly & pre-outfitting,task,2027-03-10,2027-08-06,150,10,Fabrication,Panel & sub-assembly,
6,Keel laying,milestone,2027-04-09,2027-04-09,0,0,,,
7,Erection,group,2027-08-07,2027-12-24,140,0,,,
7.1,  Block erection & hull closure,task,2027-08-07,2027-11-24,110,0,Erection,Block assembly & pre-outfitting,
7.2,  Welding & alignment,task,2027-10-26,2027-12-24,60,0,Erection,Block erection & hull closure,
8,Outfitting,group,2027-11-15,2028-05-22,190,0,,,
8.1,  Machinery & piping install,task,2027-11-15,2028-03-13,120,0,Outfitting,Welding & alignment,
8.2,  Electrical & accommodation,task,2028-01-24,2028-05-02,100,0,Outfitting,,
8.3,  Painting & coatings,task,2028-03-24,2028-05-22,60,0,Outfitting,Machinery & piping install,
9,"Launch, trials & delivery",group,2028-05-23,2028-09-09,110,0,,,
10,Launch / float-out,milestone,2028-05-28,2028-05-28,0,0,,Painting & coatings,
10.1,  Quay-side commissioning,task,2028-05-28,2028-07-21,55,0,Commissioning,Painting & coatings,
10.2,  Sea trials,task,2028-07-27,2028-08-25,30,0,Trials,Quay-side commissioning,
11,Delivery,milestone,2028-09-10,2028-09-10,0,0,,Sea trials,
