WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Proposal,group,2026-08-02,2026-08-22,21,100,,,
1.1,  Literature review,task,2026-08-02,2026-08-15,14,100,You,,
1.2,  Research question & proposal,task,2026-08-16,2026-08-22,7,90,You,Literature review,
1.3,  Proposal approved,milestone,2026-08-23,2026-08-23,0,0,,Research question & proposal,
2,Data collection,group,2026-08-23,2026-10-01,40,20,,,
2.1,  Design methodology,task,2026-08-23,2026-09-01,10,40,You,Proposal approved,
2.2,  Fieldwork / experiments,task,2026-09-02,2026-10-01,30,5,You,Design methodology,
3,Analysis & Writing,group,2026-10-02,2026-11-15,45,0,,,
3.1,  Data analysis,task,2026-10-02,2026-10-21,20,0,You,Fieldwork / experiments,
3.2,  Write chapters,task,2026-10-16,2026-11-14,30,0,You,Data analysis,
4,Submission,group,2026-11-16,2026-11-25,10,0,,,
4.1,  Revisions & proofread,task,2026-11-16,2026-11-23,8,0,You,Write chapters,
4.2,  Submit thesis,milestone,2026-11-26,2026-11-26,0,0,,Revisions & proofread,
