WBS,Task,Type,Start,End,Days,Progress %,Assignee,Dependencies,Notes
1,Project set-up,group,2026-08-02,2026-08-21,20,100,,,
1.1,  Critical path & budget approved,task,2026-08-02,2026-08-13,12,100,GM,,
2,Opening date locked,milestone,2026-08-22,2026-08-22,0,100,,,
3,Recruitment & HR,group,2026-08-22,2026-11-29,100,40,,,
3.1,  Executive committee hired,task,2026-08-22,2026-09-20,30,100,HR,Opening date locked,
3.2,  Department heads hired,task,2026-09-21,2026-10-25,35,50,HR,Executive committee hired,
3.3,  Line staff hiring wave,task,2026-10-26,2026-11-29,35,0,HR,Department heads hired,
4,OS&E and FF&E procurement,group,2026-08-27,2026-11-29,95,35,,,
4.1,  Specify & order OS&E,task,2026-08-27,2026-10-10,45,70,Purchasing,,
4.2,  Delivery & storeroom set-up,task,2026-10-31,2026-11-29,30,0,Purchasing,Specify & order OS&E,
5,Systems & IT,group,2026-09-26,2026-11-29,65,20,,,
5.1,  PMS & POS install,task,2026-09-26,2026-10-25,30,30,IT,,
5.2,  Connectivity & integration test,task,2026-10-31,2026-11-29,30,0,IT,PMS & POS install,
6,Sales & distribution,group,2026-09-01,2026-12-09,100,30,,,
6.1,"  Rates, channels & OTA set-up",task,2026-09-01,2026-10-15,45,50,Commercial,,
7,Bookings open,milestone,2026-10-16,2026-10-16,0,0,,"Rates, channels & OTA set-up",
7.1,  Pre-opening sales push,task,2026-10-16,2026-12-09,55,10,Commercial,Bookings open,
8,Licensing & inspections,group,2026-11-10,2026-12-19,40,0,,,
8.1,"  Fire, health & liquor licences",task,2026-11-10,2026-12-04,25,0,Engineering,,
9,Certificate of occupancy,milestone,2026-12-20,2026-12-20,0,0,,"Fire, health & liquor licences",
10,Training & opening,group,2026-11-30,2027-01-13,45,0,,,
10.1,  Departmental training,task,2026-11-30,2026-12-24,25,0,Dept heads,Connectivity & integration test,
10.2,  Soft opening,task,2026-12-30,2027-01-10,12,0,GM,Certificate of occupancy,
11,Hotel open,milestone,2027-01-14,2027-01-14,0,0,,Soft opening,
